Job_Title,Company_Name,URL,Location,Experience,Salary,Skills_Required,Matched_Keywords
Senior Software Engineer,Google,https://www.timesjobs.com/job-detail/senior-software-engineer-google-germany-5-8-years-jobid-F815xTUT3HlzpSvf+uAgZw==&source=srp,Germany,5 - 8 Yrs,Not disclosed,"Software Engineering, Data Structures, C++ Programming, Rust Language, Problem solving","Rust, Concurrency, Networking, Design Patterns, Data Structures, Algorithms, System Design"
Software Engineer,Google,https://www.timesjobs.com/job-detail/software-engineer-google-pittsburgh-2-5-years-jobid-Lps1l0mxFRJzpSvf+uAgZw==&source=srp,Pittsburgh,2 - 5 Yrs,Not disclosed,"Software Development, API Design, Web Development, Root Cause Analysis, Software Testing","Python, Java"
Software Engineer,Google,https://www.timesjobs.com/job-detail/software-engineer-google-united-states-of-america-usa-1-4-years-jobid-thxNbtNKb6tzpSvf+uAgZw==&source=srp,United States of America (USA),1 - 4 Yrs,Not disclosed,"Software Development, Algorithm Design, System Diagnosis, Performance Testing, Code Documentation","Python, Java, JavaScript, Generative AI, Algorithms"
Lead Software Engineer,Master Card,https://www.timesjobs.com/job-detail/lead-software-engineer-master-card-pune-5-10-years-jobid-3VnvpGKNdcBzpSvf+uAgZw==&source=srp,Pune,5 - 10 Yrs,Not disclosed,"Java Development, Automation Engineering, API Testing, Payment Processing, Agile Methodologies","Java, Spring, Spring Boot, CI/CD, SQL, Distributed Systems, Git, Agile"
SOFTWARE ENGINEER,Caterpillar Inc,https://www.timesjobs.com/job-detail/software-engineer-caterpillar-inc-bengaluru-chennai-5-8-years-jobid-04XEz9i9aZFzpSvf+uAgZw==&source=srp,"Bengaluru, Chennai",5 - 8 Yrs,Not disclosed,"Software Development, Application Development, Agile Frameworks, Cloud Computing, Debugging Techniques","Java, Scala, AWS, Azure, Jenkins, CI/CD, MySQL, MongoDB, Redis, Cassandra, Elasticsearch, NoSQL, Apache Spark, Kafka, Microservices, Agile, Scrum, Data Structures, Algorithms, Postman"
Senior Software Engineer,Master Card,https://www.timesjobs.com/job-detail/senior-software-engineer-master-card-united-states-of-america-usa-6-9-years-jobid-7YKUv9I8__SLASH__F5zpSvf+uAgZw==&source=srp,United States of America (USA),6 - 9 Yrs,Not disclosed,"Java Development, Automation Frameworks, API Testing, Performance Engineering, Agile Methodologies","Java, REST API, Spring, Spring Boot, CI/CD, SQL, ETL, Kafka, Distributed Systems, Microservices, Agile, Design Patterns, Data Structures, Algorithms"
Software Engineer Or Senior Software Engineer - Data Hub,Workday,https://www.timesjobs.com/job-detail/software-engineer-or-senior-software-engineer-data-hub-workday-canada-3-6-years-jobid-uZqMlmYnnsxzpSvf+uAgZw==&source=srp,Canada,3 - 6 Yrs,Not disclosed,"Cloud Engineering, Data Engineering Technologies, Programming Proficiency, Distributed Systems, Continuous Integration","Python, Java, Scala, AWS, GCP, Docker, Kubernetes, Terraform, Jenkins, Data Engineering, Apache Spark, Distributed Systems, Concurrency, Networking, TDD"
Senior Software Engineer,Google,https://www.timesjobs.com/job-detail/senior-software-engineer-google-other-citys-in-new-york-5-8-years-jobid-UdjiBvUwWOpzpSvf+uAgZw==&source=srp,Other City(s) in New York,5 - 8 Yrs,Not disclosed,"Machine Learning Models, C++ Software Development, Software Testing Lifecycles, Debugging and Root Cause Analysis, Software Design Architecture",Machine Learning
Software Engineer,Google,https://www.timesjobs.com/job-detail/software-engineer-google-united-states-of-america-usa-1-4-years-jobid-NgP0sSR15HpzpSvf+uAgZw==&source=srp,United States of America (USA),1 - 4 Yrs,Not disclosed,"Software Development, Python Programming, JavaScript Design, System Testing, Algorithm Design","Python, Java, JavaScript, Generative AI, Algorithms"
Staff Software Engineer,GE Healthcare,https://www.timesjobs.com/job-detail/staff-software-engineer-ge-healthcare-bengaluru-1-4-years-jobid-h7P9ZbtUQcpzpSvf+uAgZw==&source=srp,Bengaluru,1 - 4 Yrs,Not disclosed,"Cybersecurity Engineering, Agile Software Development, Object Oriented Design, Vulnerability Assessment, Technical Leadership","Python, Java, Distributed Systems, Agile, Scrum, Unit Testing, Design Patterns, Data Structures, Algorithms"
