Rank,Related_Keyword,Job_Count,Demand_Percentage
1,CI/CD,14,32.56
2,LLM,11,25.58
3,AWS,10,23.26
4,Agile,10,23.26
5,SQL,10,23.26
6,Git,9,20.93
7,Generative AI,9,20.93
8,Networking,9,20.93
9,Azure,8,18.6
10,Data Engineering,8,18.6
11,Docker,8,18.6
12,Algorithms,7,16.28
13,Machine Learning,7,16.28
14,React,6,13.95
15,Kubernetes,6,13.95
16,System Design,6,13.95
17,JavaScript,5,11.63
18,Java,5,11.63
19,Distributed Systems,5,11.63
20,Data Structures,5,11.63
21,PyTorch,5,11.63
22,TensorFlow,4,9.3
23,Data Science,4,9.3
24,PostgreSQL,4,9.3
25,R,4,9.3
26,FastAPI,4,9.3
27,Linux,4,9.3
28,Node.js,3,6.98
29,Pandas,3,6.98
30,Terraform,3,6.98
31,Hugging Face,3,6.98
32,ETL,3,6.98
33,GCP,3,6.98
34,Go,3,6.98
35,Microservices,3,6.98
36,Design Patterns,2,4.65
37,Redis,2,4.65
38,Computer Vision,2,4.65
39,Scala,2,4.65
40,OAuth,2,4.65
41,Perl,2,4.65
42,Google Cloud,2,4.65
43,TypeScript,2,4.65
44,GitHub Actions,2,4.65
45,Airflow,2,4.65
46,NLP,2,4.65
47,Flask,2,4.65
48,MySQL,2,4.65
49,Operating Systems,2,4.65
50,Ruby,2,4.65
51,Jenkins,2,4.65
52,GraphQL,1,2.33
53,Spring Boot,1,2.33
54,Spring,1,2.33
55,NaN,1,2.33
56,Cybersecurity,1,2.33
57,REST API,1,2.33
58,DynamoDB,1,2.33
59,Jira,1,2.33
60,Android,1,2.33
61,NoSQL,1,2.33
62,Apache Spark,1,2.33
63,Ansible,1,2.33
64,Scikit-learn,1,2.33
65,Shell Scripting,1,2.33
66,MongoDB,1,2.33
67,Encryption,1,2.33
68,Assembly,1,2.33
69,NumPy,1,2.33
70,Cassandra,1,2.33
71,Deep Learning,1,2.33
72,MATLAB,1,2.33
73,Embedded Systems,1,2.33
74,Bash,1,2.33
75,HTML,1,2.33
76,CSS,1,2.33
